"206891110001_R01C01"	"206891110001_R03C01"	"206891110001_R07C01"	"206891110001_R08C01"	"206891110002_R02C01"	"206891110002_R04C01"	"206891110002_R06C01"	"206891110002_R08C01"	"206891110004_R01C01"	"206891110004_R03C01"	"206891110004_R07C01"	"206891110004_R08C01"	"206891110005_R02C01"	"206891110005_R04C01"	"206891110005_R06C01"	"206891110005_R08C01"
"cg21465176_BC11"	0.984581851641659	0.0114265746802929	0.983246325518726	0.033123564256053	0.0180405967611819	0.98363047993167	0.983825059807791	0.0136233663111085	0.982977895294042	0.0158257486456813	0.982589578462528	0.0341711744183771	0.0506050382837616	0.983759803381672	0.982327299555562	0.0140924163157699
"cg21785522_TC11"	0.980915229663877	0.0126857227863605	0.980658193013525	0.0134593467916724	0.0114577476262647	0.974035255290959	0.967039744989875	0.0161528410356208	0.975409215406922	0.0115424379360675	0.974716813206281	0.0357179321831986	0.0147058650981684	0.977572091641918	0.975774073325992	0.0155498291380044
"cg04353095_BC11"	0.975970430118826	0.0136173551388963	0.977902360947359	0.0201988792053604	0.0149085552188402	0.976740567300157	0.967245843857457	0.0142159703829671	0.976758100817271	0.015137956667139	0.974832124941564	0.012766764404924	0.015335893153845	0.972553229651727	0.969774598796287	0.014704129106418
"cg14221825_BC11"	0.0105196285764698	0.967413049013923	0.97327037409766	0.0106798744799641	0.0102341228636311	0.966584882238942	0.00961762435877062	0.962952540041301	0.0104902505028992	0.973348551354873	0.966911939718547	0.0112037527852386	0.0104900937955998	0.963496665721469	0.0123461561530131	0.97455541983411
"cg19927257_TC11"	0.0158404735889397	0.97797283463514	0.979790654396356	0.0430694720419058	0.0162398216524076	0.981366151816598	0.0140911604050904	0.978159197336285	0.0139715973094701	0.979296174486349	0.9685440870514	0.0246150501263526	0.0296139322488134	0.979347990876774	0.0132643931297562	0.980093236031629
"cg08154437_BC11"	0.0193057269230846	0.980467413178105	0.979786692798901	0.0176308742941264	0.0184203241138664	0.97782451686567	0.0188382670985301	0.977304110703373	0.0173905682965423	0.974998060365201	0.954467630903283	0.017136310954496	0.0183487095387921	0.976969334358854	0.0208711359787963	0.97983412689539
"cg00480749_BC11"	0.0189399045380445	0.973294757895896	0.979194464794948	0.0157681357871958	0.0169145848663124	0.970557242837057	0.0148651705760862	0.96974911233869	0.0165570649936963	0.975206749654589	0.966959426807777	0.0129723711824285	0.0176191197464118	0.974176608671371	0.0202792865717757	0.978494161941609
"cg20772300_TC11"	0.0149247593950433	0.981160171895237	0.974602057160364	0.0198697229754464	0.0163282265301333	0.969496877661884	0.0155639159986152	0.973629906252768	0.0154411470493508	0.976027768115405	0.97040980609766	0.0189550235706247	0.0170450881390738	0.962719491238631	0.0196459518716622	0.979964018556584
"cg10539034_TC11"	0.0105982114341052	0.973376242188807	0.971800322464486	0.0104924348803142	0.0116485948075341	0.961010740281361	0.00976987758431164	0.971707568451245	0.0107873417481734	0.976297282838275	0.954596577972892	0.0105713839261396	0.0109925182812113	0.952969748924344	0.0109019628908421	0.973219353524355
"cg26305504_TC11"	0.981290798270989	0.983960523474702	0.0238310958663502	0.0426025506076779	0.0163453714760184	0.0264254360386737	0.97833804897159	0.972851148847155	0.982328611094026	0.980566651551123	0.0188485412717345	0.037202338693225	0.0140486629194302	0.0178450647645176	0.981529797606491	0.983344641400762
"cg16267162_BC11"	0.0136608440329989	0.976432057498152	0.976148235933606	0.012126267142932	0.0130614040692922	0.969301016697108	0.0124793004858546	0.973756529252912	0.0143033360873106	0.973166502248958	0.942626193244702	0.0122468409000617	0.01900165354387	0.968116396747384	0.0146016214890089	0.97621036203689
"cg19484420_TC11"	0.981808412259525	0.010186643364258	0.982606797636616	0.0158692749625926	0.00981243903558839	0.968061952795571	0.973063839070724	0.00941735189091803	0.978574932656559	0.010437630666318	0.91427212712215	0.0130861546666857	0.0348907463154778	0.977748693377075	0.978929539946238	0.0121432781799617
"cg07426195_BC11"	0.0135118994960576	0.976217586863416	0.979184228753081	0.0403144607665499	0.01749199750988	0.968089296064534	0.0154940687193329	0.973386614496974	0.0144188609168628	0.980254730343847	0.968104155742346	0.0186765040188503	0.0293459817249533	0.976475633222112	0.0155691241123354	0.980473314067735
"cg08692937_BC11"	0.0163224371945954	0.975138241179735	0.979657184702173	0.0130260963091804	0.0238718328150212	0.966085857181511	0.0117942288864166	0.966771248179967	0.0110689050157225	0.979052755195169	0.97027955757167	0.030729823884065	0.0125937599766812	0.95460049932755	0.0141195232535563	0.978562060457253
"cg17579113_TC11"	0.0181781124996454	0.976162915690545	0.979947476991291	0.0188853011175866	0.0194395992681561	0.966638845866472	0.019410751911519	0.975787747591993	0.0186895835753747	0.979383403011103	0.97375061654171	0.0206543267634345	0.0228521883674434	0.963100402764435	0.0193645123464495	0.979599662699419
"cg02916932_TC11"	0.0157047434782358	0.976570928532067	0.978397851732873	0.0214175442754956	0.019462746455263	0.965381248712399	0.0145994257717758	0.976419138730471	0.0143374601406926	0.977724921161281	0.974090602371118	0.0338196732355643	0.0311092932745853	0.975494233158438	0.0162816995009706	0.979121172010207
"cg13409170_BC11"	0.0178648236364237	0.978744710486307	0.978033660227048	0.0304631939734027	0.0252471890119276	0.977023515096534	0.0147895528882644	0.976947086545097	0.0186795992729941	0.979457105615048	0.976296389222368	0.0241827222547794	0.0381570617107833	0.973152667876102	0.0163575819603521	0.978679841937186
"cg07803304_TC11"	0.0184742393623053	0.972715220019654	0.977634266735943	0.0176179123136382	0.0213436010072218	0.973844340788836	0.0171368800681523	0.967857154023132	0.015225985018095	0.972710039722564	0.974948618672584	0.0224358986129452	0.0262874950812887	0.964666632765396	0.0180188056047589	0.977008605525778
"cg01825058_BC11"	0.0169284882120962	0.959615385686445	0.978394399770445	0.0141372351779761	0.0165836731507558	0.977364887369386	0.0153865375097933	0.939440429078276	0.0159602809970727	0.964242252419896	0.975702330782962	0.0153569055291763	0.0170447074032963	0.976211120665837	0.0159554379951775	0.977383386949844
"cg09448654_TC11"	0.0163969144847783	0.971527760875722	0.971147820646124	0.0181135698719136	0.0144288595605073	0.984834236631414	0.0152302296726122	0.963718189145831	0.0145183664354704	0.967137170594223	0.95429303403777	0.0156584648548787	0.0154445537627562	0.96249163230573	0.0163295099722549	0.971812543438158
"cg14617810_BC11"	0.0168179710643681	0.976696891652232	0.977061874201697	0.0228410216720337	0.0227935070586442	0.973780880495064	0.0181634289818814	0.974743149048834	0.0210806923967533	0.974523144546117	0.974960477572851	0.0385590062094479	0.024476156327174	0.974497907077238	0.0206866479585237	0.979654387892895
"cg05039004_TC11"	0.976749129933046	0.0173653953095845	0.979415183416649	0.0180202362352506	0.0172374116537493	0.976157231507696	0.968793288561993	0.0162394905560946	0.975454429914339	0.0169783879143707	0.921598934027385	0.0155185180253448	0.0151849896548689	0.97610746776062	0.975030310446615	0.0148754280376521
"cg20129994_BC11"	0.0151315728182203	0.960389482985395	0.975721209557333	0.0228548018336032	0.0152757385946223	0.966595328480546	0.0151797292415951	0.963019933425972	0.0161108060111103	0.966569769770868	0.974383528044347	0.0147782797034857	0.0170602878916891	0.971473490888728	0.0135961606531394	0.97205742077228
"cg06966660_BC11"	0.978992508655228	0.0161426346437356	0.979705210316483	0.0212633048793626	0.0216291012882022	0.96334292943795	0.971310938145816	0.0179505875514731	0.978629419824422	0.0200770134615637	0.979464642795873	0.0232579212462243	0.0224137183164596	0.951816911201158	0.978767974461905	0.0197955798623412
"cg13686615_BC11"	0.0212030697249854	0.978708289944159	0.976898210351022	0.0193715574185487	0.019239905741285	0.975039277994135	0.018452283930244	0.977815661401849	0.0183112380761074	0.978100113328128	0.951348992202827	0.0174454429106913	0.0175127090440371	0.947524222121775	0.0178608399735392	0.979396864284714
"cg25796439_BC11"	0.0302538449829595	0.978251170868829	0.979737873681824	0.0237854331662133	0.0189645065002505	0.972674344581326	0.0190299168641009	0.963555278284315	0.0235167771110186	0.976530450860054	0.976556725477598	0.017900257598112	0.0204401854259855	0.96699052247238	0.0214649819469359	0.976799664587335
"cg14292280_TC11"	0.019348416027459	0.972414612884374	0.976451615899209	0.0243478557489841	0.0239611867805624	0.973402553754396	0.018610919576123	0.972180064214912	0.0204191796020339	0.974004998612474	0.96778452676894	0.0230977422331569	0.0266818603780244	0.972395167885071	0.0183762241417661	0.977588920488988
"cg02610058_BC11"	0.046288313228418	0.952489961307259	0.980181291767047	0.0182485190292705	0.00901126474339505	0.978540595411479	0.0102818503310616	0.943889823985874	0.0130977627164326	0.960278472832103	0.969614866807258	0.0109464906928954	0.0109757814256778	0.976554068021934	0.0165587810404987	0.981782114651146
"cg23757899_BC11"	0.0184233015396213	0.976095948379194	0.976530593326286	0.0167349227866066	0.0209362857767494	0.973295252465088	0.0172905473913591	0.971571604210909	0.0166196697812713	0.972940861366602	0.965549470085391	0.0191552903115453	0.0501491124417105	0.973470949654606	0.0185436192667631	0.977583432623943
"cg15202102_TC11"	0.0173995745195112	0.97492137211915	0.978784670245727	0.0250340101067529	0.0219110574863424	0.968803900420101	0.017154038828248	0.952792818294178	0.0177297908211403	0.976418103277452	0.964339544708932	0.0229955083285579	0.0194597277976982	0.97332594405367	0.0178805490156362	0.977953226358684
"cg19396400_BC11"	0.0121723779159219	0.963390808450678	0.983488009965818	0.0205227779391153	0.0122403607422032	0.978090882711086	0.0185960960578621	0.976100195532758	0.0146940582939081	0.977866513924344	0.980497093522024	0.0640394175061016	0.0620257592316001	0.981304444292759	0.0126318636380759	0.980322661572042
"cg13940883_BC11"	0.0200207416524665	0.973435183470419	0.975842809142179	0.0273462428475212	0.0186990430799778	0.962362258071701	0.0161690992191343	0.975818703582498	0.0183711469215619	0.974633379730792	0.958391440653323	0.0235365887544138	0.0203034990098991	0.971483027854181	0.019745687711373	0.978144090622628
"cg02053964_TC11"	0.983057715075356	0.0162921218663473	0.979465466745489	0.0302720457354588	0.0183590765140815	0.979941683254693	0.979697907286409	0.0194395072245978	0.981201352590046	0.0257727433711976	0.94940137614145	0.0317612771824735	0.0524866328480358	0.979940947926867	0.982574390555876	0.0206787369963857
"cg10624054_BC11"	0.0176756783410366	0.970030154935405	0.979681421516099	0.0280158109414305	0.0172018574590423	0.96514818231765	0.0155705965960182	0.973903753130807	0.0158598922877723	0.97049627698095	0.93797167650897	0.0212908145386953	0.0181316535873008	0.969915449453657	0.0131506684470552	0.978815868205041
"cg22274395_BC11"	0.0234031387741991	0.975743471999535	0.979332714191211	0.0225578124061292	0.0184204683825281	0.976321464029379	0.0165455281671345	0.967672522272939	0.0209699612894666	0.975635023483005	0.96984592339301	0.0161996817133564	0.0589886521086852	0.972977865158662	0.0182857859053988	0.976651556874685
"cg14194075_TC11"	0.0385384063860445	0.972115399100031	0.978550208120127	0.0133021900347289	0.0119251308319902	0.948595145411886	0.0109512134245705	0.974745273081404	0.0170261937264557	0.973062621550429	0.968083155947596	0.0121882121746468	0.015768557497806	0.939830215962523	0.0139515890295436	0.976607347554441
"cg15202627_TC11"	0.0151808419809285	0.94103344641029	0.97720955886867	0.0127438285305535	0.012173299950179	0.960138818171004	0.0109469606416786	0.940506486688034	0.0118652897080127	0.970249427831506	0.97250392692909	0.0140333521563411	0.0248627304468628	0.97353895167832	0.0147096214808319	0.979423002111032
"cg13851144_BC11"	0.0174051855703837	0.972318967297173	0.974111555483974	0.0264029747855972	0.0181363968609573	0.967312381488972	0.0177806398251575	0.971135546326171	0.020324284960775	0.972590656002642	0.959215573952175	0.0208836345298808	0.0198647869519005	0.965959006529614	0.0180568202914243	0.97523010093365
"cg27431596_BC11"	0.0208268310070827	0.974577433021029	0.978021159333993	0.0245062536639222	0.0232661427377739	0.969484351396397	0.0176934917276	0.970463702056698	0.0227610874178211	0.976844049525594	0.966449503127052	0.0350844429927071	0.0228708584106408	0.972114064554268	0.0201629701551127	0.975938540776444
"cg06093719_TC11"	0.0106375719662927	0.975730728148713	0.978708544675595	0.0457023466603389	0.0107058791998755	0.950395871363215	0.00893142930967633	0.975814837945028	0.00935253105363147	0.976653247724841	0.976637400802505	0.0308855674951675	0.0674257109833659	0.972944836357781	0.00940667878951035	0.976858312842061
"cg10708221_TC11"	0.0187826535675803	0.963249073330075	0.976767554733005	0.0189387680130041	0.0201886085123815	0.960447422482645	0.0166344229564326	0.97096738375896	0.0167701208593256	0.966261637276403	0.959843115515597	0.020503711313872	0.0184520092187028	0.969042275482419	0.0197342364629004	0.976998354161216
"cg02848533_TC11"	0.0212232959157673	0.976627743311904	0.977855489460283	0.0242907439668684	0.023051644453272	0.97642769812518	0.0183176558521238	0.959496366046264	0.0202397237974682	0.975331638286279	0.951535442343588	0.0224433804074059	0.0273771731100382	0.970595142238488	0.0177219491243838	0.97969877081393
"cg13787193_TC11"	0.0184032088843935	0.967690203388392	0.974121498677013	0.0176130295171375	0.0205865077844685	0.965214849751616	0.0143287591811447	0.962787888674782	0.0175631074121733	0.969502243670618	0.967874011814119	0.0199648238058305	0.0269811087279465	0.966747011648132	0.0187838253006356	0.970926130287344
"cg20927661_TC11"	0.974771512066218	0.0195204840629518	0.977790806648275	0.0416111586792554	0.0269421842988764	0.974980637926968	0.974601724490373	0.0189292837759318	0.970790859448255	0.0197437377273551	0.970368269327958	0.0262564189548372	0.0280872449698028	0.972373038474988	0.975648507207173	0.0210563069592168
"cg13795831_BC11"	0.971782755775619	0.972615016541967	0.020800385024975	0.0283527977356414	0.0124449670260746	0.0231864196059552	0.961493186292808	0.969136298359716	0.958430335176639	0.966678850672107	0.0176183043041366	0.0150706005592357	0.0186683698756366	0.02291110675371	0.97053697538318	0.976556269354394
"cg04048250_TC11"	0.0211922780286067	0.977494651399469	0.978682207719506	0.0330255868639903	0.0171651568760908	0.976444135851581	0.0157259248893953	0.973047581490416	0.0203161076762699	0.977396836369705	0.973273793723117	0.0342107940169736	0.0343215219546253	0.970032377210873	0.0413477119726716	0.978045776493325
"cg26320410_BC11"	0.0111620400661745	0.976099748597621	0.975515744293088	0.022399693128764	0.013744299787907	0.902759292444248	0.01181920494068	0.973128246908332	0.0130560565612556	0.976392158717918	0.95820353297053	0.0197617832979462	0.0142536481762199	0.957007244963729	0.012469016327754	0.980541609858229
"cg19083143_TC11"	0.0123286399475015	0.958281272730429	0.982161210423654	0.0279436161564116	0.0119284991366266	0.911179904940761	0.00991457090133686	0.974705381098664	0.0101444564256101	0.97744144033855	0.961126058738265	0.0106826360102558	0.0359384755701468	0.96625793243223	0.0108359595477883	0.979613202110452
"cg05036032_TC11"	0.020453116402566	0.974958725587361	0.980315653198746	0.0448250336661232	0.0233240127280522	0.975851711682626	0.0178951495602188	0.975643291151863	0.0200362661986052	0.977210354170136	0.976020328560812	0.0389770726091385	0.0407711269114884	0.97281535022515	0.0233167567182395	0.980757820756483
"cg11218091_TC11"	0.013250061691291	0.00905789125335583	0.980708422153538	0.948667185772075	0.906864502562671	0.975260474927452	0.0102904815511428	0.0111223102489036	0.0112532724216494	0.0106864301604275	0.974714244319232	0.944529074064113	0.951722051630196	0.979623050330703	0.00906166675257675	0.00879126689366654
"cg25849068_BC11"	0.0167613170664378	0.966668018136932	0.968019953991572	0.0144396755823986	0.0156895831692536	0.955097328278699	0.011590178975513	0.964064533833715	0.0148235974799247	0.967368603271654	0.957259515754149	0.0164135475841315	0.0169264006095138	0.956946587016491	0.0165492182418243	0.97021958071925
"cg27166649_TC11"	0.0184274475622293	0.972453059531204	0.979731213423865	0.0225363364556546	0.0200409725615075	0.970863180389629	0.0214166855754421	0.970517485505396	0.0217346165155276	0.972642555280903	0.938827396081224	0.0210621327170237	0.0256970730230184	0.973280715711888	0.0236401701255791	0.97737404762428
"cg09654997_BC11"	0.0185649936050729	0.963636343011623	0.976624958682197	0.0245332837456806	0.017507534285255	0.963745975752647	0.0151102479361994	0.958699271344595	0.0165257869879985	0.961764014929772	0.965191174226821	0.0233706500572335	0.0257652905143054	0.975570963916571	0.0156390296179755	0.971971586883147
"cg16712664_BC11"	0.0175343360119266	0.961570215192233	0.973429445663303	0.0215120083338362	0.0153808007901959	0.969642961937893	0.014438126926889	0.966890976452704	0.0171417561588055	0.967936467044066	0.961845901844876	0.0164381492663946	0.0263547514971223	0.947580707389939	0.0158534330139865	0.97485353781704
"cg12463851_TC11"	0.020152907888549	0.965724044428204	0.969585804062055	0.0162418450952476	0.012920977631317	0.952702330571363	0.011919981595458	0.96544024445712	0.014887340669005	0.968764533357595	0.954476373570407	0.0152634925511059	0.0154474367186544	0.951811817277361	0.0140628830157691	0.970957265346525
"cg15844835_TC11"	0.0223853199519588	0.974528002247789	0.976682818776969	0.0296209531556002	0.0234845835266208	0.968283712420533	0.0220074637884476	0.967226878323508	0.0199827859827085	0.977398885998264	0.965940295846605	0.0281589599098458	0.0206743537380334	0.968396172980173	0.0303027407298746	0.976830808433922
"cg06571075_TC11"	0.00948254686940057	0.978151190973997	0.979861765412708	0.107224759633966	0.00940739448273073	0.979004020409045	0.00964250010735022	0.977386554177984	0.0110419132779816	0.989828059664628	0.89423406745889	0.029513540560383	0.00922616914062612	0.975935362139464	0.0110505417656568	0.981829404561186
"cg06177522_BC11"	0.0145105255170565	0.971165217246714	0.977962827850907	0.0251044513408175	0.017494815759994	0.973363339138827	0.0151037807515036	0.964475444572205	0.0155524786907494	0.978516680570615	0.893623083990125	0.0192416115159539	0.0210954679441233	0.975942092000048	0.0153512050245721	0.976860665107796
"cg09196068_BC11"	0.0231705224942608	0.968943938189947	0.976945933210027	0.0209392043400795	0.0222629406804812	0.96892530639422	0.0258231671230035	0.967853052940198	0.02805970322879	0.970498255497291	0.974777370917989	0.0231837638535102	0.0245840448161619	0.974026819376795	0.0323122341273488	0.972474167107412
"cg06496829_BC11"	0.0176226435632404	0.967736145754501	0.975113161386145	0.0256618481099729	0.0155824103620095	0.964555849050557	0.0150029724374882	0.943279515650149	0.0167327465451906	0.973122335339017	0.946906225290159	0.0164881691204183	0.0234363938310148	0.971061466472815	0.0151967597069145	0.976830673169976
"cg07941301_BC11"	0.0303395464908844	0.96930876557712	0.979733298090923	0.0158569008862522	0.0152672969075909	0.966358219113775	0.0163808481879601	0.964620808956677	0.0177732617516424	0.977412609873506	0.946848750753243	0.017609536589463	0.0202462701023688	0.941946180324546	0.0188767419279432	0.978312510436839
"cg13357482_TC11"	0.0198459155810341	0.977611386933461	0.977353460311319	0.0707758252819579	0.0170257148941432	0.972082771631535	0.0168645862738567	0.972898427093707	0.0171604397125227	0.973327309832865	0.968865709573162	0.0459778612057014	0.0197711433887405	0.972878258355157	0.0164555217532647	0.978300261376407
"cg04942343_TC11"	0.0306397840464864	0.979798545662992	0.979427700973356	0.0433313477687847	0.0214335593456068	0.976603064858741	0.0197024978781914	0.973399193325797	0.0195550498525196	0.978638069293439	0.967323963104597	0.0325365645991119	0.0468820467103112	0.976757173366927	0.0280463296697753	0.981138937595325
"cg06365984_BC11"	0.0196274335870411	0.956933932246418	0.971585439813541	0.0176821446078253	0.0154748805591687	0.966347159494823	0.0169402126058186	0.959161640705308	0.0237099922125084	0.968889869213744	0.960702284846251	0.018598839268183	0.0135532610618662	0.966661252669645	0.0248518979769408	0.971335489206681
"cg08055924_BC11"	0.0155245413443626	0.941509942611159	0.982700119334625	0.0501399187198658	0.0128699986361865	0.983001434619665	0.0122548379163649	0.92005865569445	0.0122617785604142	0.947387970569374	0.981866244345204	0.0166060493444037	0.0153148708118764	0.977811238296834	0.0141733759424241	0.979772820653563
"cg13703049_TC11"	0.0162596786931374	0.951768366054293	0.981984408165146	0.0182294092048482	0.0179555606225192	0.97260188612375	0.0179465782029628	0.948641348340926	0.0151864666906974	0.947660204670145	0.964606910073787	0.0231348558581911	0.024495520946669	0.97867759650782	0.0163622460520186	0.972509032463976
"cg16857858_TC11"	0.0208406843331869	0.974467075159972	0.974333919056536	0.0539817997000268	0.0205046752729202	0.969561373007194	0.0190016457823414	0.969283782678441	0.0233814308537747	0.974797235104001	0.970988602565173	0.0263111435710275	0.0258626059191158	0.969692877955044	0.0230016057083472	0.974652113646369
"cg10384554_TC11"	0.0207038606318289	0.972329453925057	0.972697710215121	0.0230922458703971	0.0214035817045234	0.956541170368802	0.0183399279904198	0.970701614002474	0.0198968137229159	0.968970926180313	0.962942246125547	0.021128932043573	0.0341247831734931	0.968403446825095	0.0231847088100957	0.974315155958434
"cg05923587_BC11"	0.025946364926407	0.967320797505221	0.979416125013238	0.0300916391234939	0.0224351644188562	0.971891062004029	0.021819477217045	0.945039643231733	0.0244678658613497	0.971698467002504	0.970485690732759	0.0259288863175642	0.0213042188660509	0.979606875915008	0.0277259296274082	0.976871791131216
"cg12389545_BC11"	0.0240615484646161	0.969103936992897	0.974154350303785	0.0284459211472929	0.0255252989346407	0.970721337111706	0.0229902689469315	0.973004055644282	0.022864696680083	0.973814623023964	0.965508800881023	0.0332892436836481	0.0311151863883866	0.970508469023014	0.021687312745506	0.97620333210207
"cg10531688_TC11"	0.019477612131494	0.972344638324122	0.973292552357228	0.0160771303620779	0.013316558565859	0.960749224994121	0.01461521645662	0.966221281357868	0.0180354851503123	0.969885873252271	0.931734425281298	0.0184139026237568	0.0174409612933708	0.952414518620565	0.0256620270889705	0.977429425616915
"cg21273703_BC11"	0.0588360429983686	0.977733284943166	0.976527469611663	0.017939723609006	0.0182900199678986	0.96495055873354	0.0262217120402484	0.976754292671052	0.022303162340966	0.977831473267964	0.965903154118569	0.0159541641714203	0.028080314637815	0.964573431604517	0.037749076961	0.979686848820823
"cg19118797_TC11"	0.0177695264447042	0.949163994058711	0.980235118940919	0.0570487094183004	0.0177500979859026	0.978519384729841	0.0154717259570935	0.955783916087059	0.0163270464826813	0.959946416278421	0.977633390161939	0.0436943479526672	0.0174344605199653	0.979739622236473	0.0157637960259452	0.977105737473641
"cg17142722_TC11"	0.0237006759600968	0.973700922647501	0.977857286106037	0.0346874000955038	0.0197170357859094	0.970260006084886	0.016207189384023	0.973193944481094	0.0220774305153207	0.97556619017115	0.966464423599794	0.0301934988961404	0.0532963075947982	0.973541903811283	0.0294906283145622	0.97672740351783
"cg20622089_BC12"	0.0177571420342818	0.966791803076996	0.977847937240665	0.0178816537627688	0.0153131438849873	0.972659863041037	0.0147929032664168	0.918482812714289	0.0148401958563877	0.968441791400598	0.968716806463174	0.0294237910469977	0.0257538162373718	0.955821328728473	0.015942691693845	0.976335755397508
"cg14094960_BC11"	0.0184559788825252	0.969306107757498	0.970891135209368	0.0241334098143551	0.0254146692041883	0.956649895326207	0.0179452332425229	0.96683138889222	0.019321032512193	0.967655154916526	0.95810232939846	0.0207113769785119	0.024696263316294	0.960219515886466	0.0199107157270432	0.976834434635869
"cg24507266_TC11"	0.0143296343849557	0.981352845566285	0.98398514077417	0.0691169894185956	0.039455399017108	0.983580525933772	0.0168475198723062	0.965022741124721	0.0143805866739255	0.980771150681395	0.980407355033711	0.0430855262960243	0.0692002708034802	0.982728191039927	0.0224661400979439	0.98281964339254
"cg25326061_TC11"	0.016764667012412	0.967153095308796	0.975122331479808	0.0171778468168555	0.0166913604290524	0.964678655170378	0.0136207485514646	0.973670333629185	0.0113446550350314	0.970170313425115	0.929702971309979	0.0340893289421127	0.0174484804253439	0.966276031212433	0.0455856171425098	0.977654542867353
"cg20055841_BC11"	0.0180935701599876	0.959762325994096	0.974795802303564	0.0288223764818542	0.0205799468256718	0.951810954796679	0.0171689393583291	0.964990336140187	0.018469200101976	0.963536466473935	0.964151513930073	0.0237262609695431	0.0179238589241091	0.969418661111416	0.0211158376959486	0.970644061739521
"cg20622089_BC11"	0.00941228439160026	0.961302428737468	0.976677207363354	0.0448806505228315	0.0212026461812929	0.970428347147477	0.014546765744654	0.920318489310515	0.0127012065262829	0.968374494249607	0.970027198195652	0.0188185088017593	0.0226361829487664	0.967678365161414	0.0161562343058827	0.974110652412246
"cg24234651_BC11"	0.966957521460125	0.936268954042931	0.0239478012268548	0.0124226936695687	0.0124025186525958	0.017397749330154	0.959157510051603	0.947967344332642	0.966236000804893	0.966603614030141	0.0171649120825856	0.0124298243141903	0.0120605483859691	0.0143070170197999	0.964174069126486	0.964479338723268
"cg19861329_TC11"	0.0141280717400034	0.910190249699027	0.982154745885388	0.0450515145038131	0.0119344816009659	0.979463853831872	0.00955618862407191	0.921394630343842	0.0120626292859691	0.938833752410522	0.980362776281748	0.0145234832211687	0.0143072956531887	0.979754640647753	0.00981644714020678	0.981224368045578
